"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Barbados","Americas","Caribbean","Homicide Total Count",34,21,22,21,20,17,,,20,23,20,25,25,33,22,29,35,25,23,19,31,27,22,24,25,31,22,30
"Barbados","Americas","Caribbean","Homicide Rate",13.1,8,8.4,8,7.6,6.4,,,7.5,8.6,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8,10.9,7.7,10.5
"Belarus","Europe","Eastern Europe","Homicide Total Count",508,465,594,756,829,960,970,1021,1036,974,1013,969,989,879,815,825,734,649,541,487,401,373,340,333,340,,,
"Belarus","Europe","Eastern Europe","Homicide Rate",5,4.5,5.8,7.4,8.1,9.5,9.6,10.1,10.3,9.8,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6,,,
"Belgium","Europe","Western Europe","Homicide Total Count",104,102,121,145,120,142,120,145,,,212,282,319,230,268,221,221,211,203,189,189,214,205,205,210,230,174,193
"Belgium","Europe","Western Europe","Homicide Rate",1,1,1.2,1.4,1.2,1.4,1.2,1.4,,,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9,2,1.5,1.7
"Belize","Americas","Central America","Homicide Total Count",,,,,,,,,,,41,64,87,67,79,81,92,97,103,97,129,124,145,99,123,119,138,142
"Belize","Americas","Central America","Homicide Rate",,,,,,,,,,,16.6,25.1,33.2,24.9,28.6,28.6,31.6,32.5,33.6,30.9,40.1,37.7,43.1,28.8,35,33.1,37.6,37.9
"Benin","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,126
"Benin","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
"Bermuda","Americas","Northern America","Homicide Total Count",1,3,1,3,6,,4,2,0,2,0,3,1,2,1,2,3,3,5,6,7,8,6,5,4,4,8,5
"Bermuda","Americas","Northern America","Homicide Rate",1.6,4.9,1.6,4.8,9.6,,6.4,3.2,0,3.1,0,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4,6.5,13,8.2
"Bhutan","Asia","Southern Asia","Homicide Total Count",20,12,27,19,20,16,12,7,11,13,18,19,19,5,15,11,9,14,18,16,16,32,33,24,,12,9,13
"Bhutan","Asia","Southern Asia","Homicide Rate",3.7,2.2,5.1,3.6,3.9,3.1,2.3,1.3,2,2.3,3.1,3.2,3.1,0.8,2.3,1.7,1.3,2,2.6,2.2,2.2,4.3,4.4,3.1,,1.5,1.1,1.6
"Bolivia (Plurinational State of)","Americas","South America","Homicide Total Count",,,,,,,,,,,,,,,,478,482,770,828,819,1273,1236,1221,932,942,671,686,
"Bolivia (Plurinational State of)","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,5.2,5.2,8.2,8.6,8.4,12.8,12.3,11.9,9,8.9,6.3,6.3,
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Total Count",73,,,,,,,,,,99,82,90,,68,70,73,66,66,71,56,51,63,46,50,57,45,42
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Rate",1.6,,,,,,,,,,2.6,2.2,2.4,,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3,1.2
"Botswana","Africa","Southern Africa","Homicide Total Count",,,,,,,,,,,,213,255,312,259,291,261,280,281,289,303,,,,,,,
"Botswana","Africa","Southern Africa","Homicide Rate",,,,,,,,,,,,12.1,14.3,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,,,,,,,
"Brazil","Americas","South America","Homicide Total Count",29301,28148,25967,28013,29851,34000,35673,37153,38442,39362,41595,43975,45585,46828,44379,43645,45086,44625,45885,44518,43272,48084,53054,54163,58497,58459,61597,63895
"Brazil","Americas","South America","Homicide Rate",19.6,18.5,16.8,17.8,18.7,20.9,21.6,22.2,22.6,22.8,23.7,24.7,25.3,25.7,24,23.3,23.9,23.4,23.8,22.8,22,24.2,26.5,26.8,28.6,28.4,29.7,30.5
"British Virgin Islands","Americas","Caribbean","Homicide Total Count",1,0,0,0,0,2,2,,,1,,1,1,2,4,,2,,,,,,,,,,,
"British Virgin Islands","Americas","Caribbean","Homicide Rate",6.1,0,0,0,0,10.9,10.6,,,5,,4.7,4.6,9.1,17.7,,8.4,,,,,,,,,,,
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Total Count",,,,,,,9,8,4,4,4,,,3,2,2,3,3,1,3,1,1,4,2,,,,
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Rate",,,,,,,3,2.6,1.3,1.2,1.2,,,0.8,0.6,0.5,0.8,0.8,0.3,0.8,0.3,0.3,1,0.5,,,,
"Bulgaria","Europe","Eastern Europe","Homicide Total Count",227,375,462,490,492,494,438,398,381,327,332,308,255,247,244,199,186,177,172,150,148,128,141,109,112,126,79,103
"Bulgaria","Europe","Eastern Europe","Homicide Rate",2.6,4.3,5.3,5.7,5.8,5.9,5.3,4.8,4.7,4.1,4.2,3.9,3.2,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,1.1,1.5
"Burkina Faso","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,78,81,78,63,69,94,151,135,123,90,115,121,130,117,209,240
"Burkina Faso","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,0.6,0.6,0.6,0.5,0.5,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.6,1.1,1.3
"Burundi","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,341,376,347,349,500,520,564,461,635,
"Burundi","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,4.2,4.4,4,3.9,5.4,5.4,5.7,4.5,6,
"Cabo Verde","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,15,21,44,35,29,34,38,39,53,56,54,65,46,62,
"Cabo Verde","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,3.3,4.5,9.3,7.3,6,6.9,7.6,7.8,10.4,10.9,10.4,12.3,8.6,11.5,
"Cambodia","Asia","South-Eastern Asia","Homicide Total Count",,,429,599,303,397,542,317,793,581,571,407,425,509,511,448,400,393,333,331,331,268,,,,,,
"Cambodia","Asia","South-Eastern Asia","Homicide Rate",,,4.5,6,2.9,3.7,4.9,2.8,6.8,4.9,4.7,3.3,3.4,4,3.9,3.4,3,2.9,2.4,2.3,2.3,1.8,,,,,,
"Cameroon","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,459,755,1031,1002,,,,,776,1277,999,835,880,,212,269,276,341
"Cameroon","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,3,4.8,6.4,6.1,,,,,4.1,6.6,5,4.1,4.2,,1,1.2,1.2,1.4
"Canada","Americas","Northern America","Homicide Total Count",657,754,733,626,596,587,634,586,559,539,546,554,582,549,625,664,608,597,614,610,556,606,548,509,522,610,612,660
"Canada","Americas","Northern America","Homicide Rate",2.4,2.7,2.6,2.2,2.1,2,2.1,2,1.9,1.8,1.8,1.8,1.9,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.8
"Cayman Islands","Americas","Caribbean","Homicide Total Count",2,2,1,2,2,2,1,2,1,0,4,2,0,3,5,3,1,2,4,8,9,,,5,5,,,
"Cayman Islands","Americas","Caribbean","Homicide Rate",8,7.6,3.6,7,6.7,6.3,3,5.6,2.6,0,9.6,4.6,0,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,,,8.6,8.4,,,
"Central African Republic","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,913,
"Central African Republic","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,
"Chad","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chad","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel Islands","Europe","Northern Europe","Homicide Total Count",,,,,,,,,,,,,,,,1,2,,1,,0,,,,,,,
"Channel Islands","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,0.6,1.3,,0.6,,0,,,,,,,
"Chile","Americas","South America","Homicide Total Count",,,,,,,,,,,,,,513,,576,590,616,588,630,541,636,434,556,,610,612,779
"Chile","Americas","South America","Homicide Rate",,,,,,,,,,,,,,3.2,,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,,3.4,3.4,4.3
"China","Asia","Eastern Asia","Homicide Total Count",,,,,,27356,25411,26070,26292,25983,26858,25939,26276,24393,24711,20770,17973,16119,14811,14667,13410,12015,11286,10640,10083,9200,8634,7990
"China","Asia","Eastern Asia","Homicide Rate",,,,,,2.2,2,2.1,2.1,2,2.1,2,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6
"China, Hong Kong Special Administrative Region","Asia","Eastern Asia","Homicide Total Count",137,92,108,86,96,73,77,102,64,63,43,66,69,52,45,34,35,18,36,47,35,17,27,62,27,22,28,24
"China, Hong Kong Special Administrative Region","Asia","Eastern Asia","Homicide Rate",2.4,1.6,1.8,1.4,1.6,1.2,1.2,1.6,1,1,0.6,1,1,0.8,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4,0.9,0.4,0.3,0.4,0.3
"China, Macao Special Administrative Region","Asia","Eastern Asia","Homicide Total Count",,19,7,13,15,8,17,30,24,37,10,8,2,8,4,4,10,6,4,6,2,4,4,1,0,1,1,2
"China, Macao Special Administrative Region","Asia","Eastern Asia","Homicide Rate",,5.4,1.9,3.5,4,2.1,4.3,7.5,5.9,8.8,2.3,1.8,0.4,1.7,0.8,0.8,2,1.2,0.8,1.1,0.4,0.7,0.7,0.2,0,0.2,0.2,0.3
"China, Taiwan Province of China","Asia","Eastern Asia","Homicide Total Count",,,,,,,,,,,,306,,,,,228,176,191,181,179,,179,168,,192,,
"China, Taiwan Province of China","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,1.4,,,,,1,0.8,0.8,0.8,0.8,,0.8,0.7,,0.8,,
"Colombia","Americas","South America","Homicide Total Count",24330,28424,28184,28441,27079,22321,23350,23200,23089,24355,26539,27840,28387,23523,20210,18111,17479,17198,16140,15817,15459,16127,16440,15419,13343,12782,12402,12237
"Colombia","Americas","South America","Homicide Rate",71,81.4,79.3,78.6,73.5,59.6,61.4,60,58.8,61.2,65.7,67.9,68.3,55.8,47.3,41.8,39.9,38.8,35.9,34.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5,24.9
"Comoros","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook Islands","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Cook Islands","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
"Costa Rica","Americas","Central America","Homicide Total Count",139,132,160,160,182,184,189,210,224,245,249,257,258,300,280,335,351,369,512,525,527,474,407,411,477,557,578,603
"Costa Rica","Americas","Central America","Homicide Rate",4.5,4.2,4.9,4.8,5.3,5.2,5.3,5.7,5.9,6.4,6.3,6.4,6.3,7.3,6.7,7.9,8.1,8.4,11.6,11.7,11.6,10.3,8.7,8.7,10,11.6,11.9,12.3
"Cote d'Ivoire","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cote d'Ivoire","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Europe","Southern Europe","Homicide Total Count",137,437,387,218,143,166,122,118,105,111,101,81,73,69,83,68,74,62,71,49,62,49,51,46,36,37,44,46
"Croatia","Europe","Southern Europe","Homicide Rate",2.9,9.2,8.2,4.6,3.1,3.6,2.7,2.6,2.3,2.5,2.3,1.8,1.7,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8,0.9,1,1.1
"Cuba","Americas","Caribbean","Homicide Total Count",,,673,802,901,852,732,747,818,609,587,605,661,642,660,684,576,568,515,565,505,534,621,674,600,619,572,
"Cuba","Americas","Caribbean","Homicide Rate",,,6.3,7.4,8.3,7.8,6.7,6.8,7.4,5.5,5.3,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,5.5,5.9,5.2,5.4,5,
"Curacao","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,10,39,43,41,26,18,26,,,,,,,,,,
"Curacao","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,7.7,30.3,33.6,32,20.1,13.6,19.2,,,,,,,,,,
"Cyprus","Asia","Western Asia","Homicide Total Count",5,1,2,5,7,9,10,6,7,10,8,7,2,14,16,20,15,13,9,19,8,9,22,12,11,15,13,7
"Cyprus","Asia","Western Asia","Homicide Rate",0.7,0.1,0.2,0.6,0.8,1.1,1.1,0.7,0.8,1.1,0.8,0.7,0.2,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1,1,1.3,1.1,0.6
"Czechia","Europe","Eastern Europe","Homicide Total Count",,,,,207,176,173,187,174,172,191,135,139,163,134,108,130,126,114,94,103,86,105,90,81,88,65,66
"Czechia","Europe","Eastern Europe","Homicide Rate",,,,,2,1.7,1.7,1.8,1.7,1.7,1.9,1.3,1.4,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.8,0.8,0.8,0.6,0.6
"Democratic People's Republic of Korea","Asia","Eastern Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark","Europe","Northern Europe","Homicide Total Count",41,68,62,71,75,59,68,88,49,52,58,52,48,65,43,53,29,39,54,47,42,46,47,48,74,62,56,71
"Denmark","Europe","Northern Europe","Homicide Rate",0.8,1.3,1.2,1.4,1.4,1.1,1.3,1.7,0.9,1,1.1,1,0.9,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3,1.1,1,1.2
"Djibouti","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Djibouti","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominica","Americas","Caribbean","Homicide Total Count",,,,,,,,,9,7,2,1,9,8,8,8,5,7,7,13,15,6,,,9,9,16,19
"Dominica","Americas","Caribbean","Homicide Rate",,,,,,,,,12.8,10,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.8,18.3,21,8.4,,,12.4,12.3,21.8,25.7
"Dominican Republic","Americas","Caribbean","Homicide Total Count",,908,807,930,1005,1007,1032,1038,1121,1066,1210,1095,1279,1902,2239,2394,2144,2111,2394,2375,2474,2513,2268,1978,1810,,1616,1216
"Dominican Republic","Americas","Caribbean","Homicide Rate",,12.4,10.8,12.2,13,12.8,12.9,12.7,13.5,12.6,14.1,12.6,14.5,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,19.2,17.4,,15.2,11.3
"Ecuador","Americas","South America","Homicide Total Count",892,1153,935,926,1139,1372,1463,1317,1643,1682,1833,1658,1906,1937,2390,2121,2385,2273,2607,2625,2623,2344,1923,1725,1311,1052,963,972
"Ecuador","Americas","South America","Homicide Rate",8.7,11,8.7,8.5,10.2,12,12.5,11,13.5,13.6,14.5,12.9,14.6,14.6,17.7,15.4,17.1,16,18,17.9,17.6,15.4,12.5,11,8.2,6.5,5.9,5.8
"Egypt","Africa","Northern Africa","Homicide Total Count",269,288,276,244,231,,,,,,,,,471,322,522,549,680,967,912,1839,2703,2207,,,,,
"Egypt","Africa","Northern Africa","Homicide Rate",0.5,0.5,0.5,0.4,0.4,,,,,,,,,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.1,2.5,,,,,
"El Salvador","Americas","Central America","Homicide Total Count",,,,,7673,7977,6792,6573,5584,3845,3551,3590,2835,3356,3897,3882,3927,3497,3179,4382,3987,4371,2594,2513,3921,6656,5276,3942
"El Salvador","Americas","Central America","Homicide Rate",,,,,138.4,142.2,119.7,114.8,96.6,66,60.5,60.8,47.7,56.2,64.9,64.4,64.8,57.5,52,71.4,64.7,70.6,41.7,40.2,62.4,105.4,83.1,61.8
"Equatorial Guinea","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equatorial Guinea","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia","Europe","Northern Europe","Homicide Total Count",118,119,217,282,302,246,214,178,196,157,143,137,142,147,91,113,91,96,86,70,70,65,63,52,41,45,33,29
"Estonia","Europe","Northern Europe","Homicide Rate",7.5,7.7,14.3,19,20.7,17.2,15.1,12.6,13.9,11.2,10.2,9.8,10.3,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1,3.4,2.5,2.2
"Eswatini","Africa","Southern Africa","Homicide Total Count",163,170,174,174,152,,,,165,114,128,184,134,135,146,139,127,121,217,187,208,172,104,102,118,112,116,130
"Eswatini","Africa","Southern Africa","Homicide Rate",18.9,19.2,19.2,18.8,16.1,,,,16.1,10.9,12.1,17.1,12.4,12.4,13.3,12.6,11.3,10.6,18.7,15.8,17.3,14,8.3,8,9.1,8.5,8.6,9.5
"Ethiopia","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Falkland Islands (Malvinas)","Americas","South America","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Falkland Islands (Malvinas)","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands","Europe","Northern Europe","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiji","Oceania","Melanesia","Homicide Total Count",32,17,26,15,35,24,13,13,,,,,,25,23,23,22,21,17,29,20,20,20,19,20,,,
"Fiji","Oceania","Melanesia","Homicide Rate",4.4,2.3,3.5,2,4.6,3.1,1.7,1.6,,,,,,3.1,2.8,2.8,2.7,2.5,2,3.4,2.3,2.3,2.3,2.2,2.3,,,
"Finland","Europe","Northern Europe","Homicide Total Count",152,154,156,130,147,146,153,139,113,143,148,156,132,103,148,119,119,129,133,120,119,110,88,89,88,82,74,69
"Finland","Europe","Northern Europe","Homicide Rate",3,3.1,3.1,2.6,2.9,2.9,3,2.7,2.2,2.8,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.6,1.6,1.5,1.3,1.2
"France","Europe","Western Europe","Homicide Total Count",1355,1355,1342,1519,1406,1336,1171,963,961,953,1051,1047,1119,987,990,976,879,993,1021,819,796,856,784,777,792,1012,874,824
"France","Europe","Western Europe","Homicide Rate",2.4,2.4,2.3,2.6,2.4,2.3,2,1.6,1.6,1.6,1.8,1.7,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,1.4,1.3
"French Guiana","Americas","South America","Homicide Total Count",,,,,,,,,,,,,,,58,45,42,28,32,30,,,,,,,,
"French Guiana","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,29.6,22.1,19.9,12.9,14.4,13.2,,,,,,,,
"French Polynesia","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,3,7,9,1,,,,,,,,
"French Polynesia","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,1.2,2.7,3.4,0.4,,,,,,,,
"Gabon","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabon","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
